4.56 12
3.76 28
3.36 44
2.64 56
2.40 70
2.24 86
1.76 102
1.60 116
1.36 128
1.20 146
0.96 158
0.96 173
0.80 186
0.72 202
0.56 216
0.56 230
0.48 240
